========================================
= 套装ID数据，由灰色枫叶GM工具自动生成 =
========================================
套装ID:1 名字:长袍防具套装(测试)      STR值：STR_TEST_SET_01
套装ID:300 名字:强化的圣灵守护者长袍套装      STR值：STR_WORLD_RB_DEVA_D1_55
套装ID:301 名字:强化的圣灵守护者皮革套装      STR值：STR_WORLD_LT_DEVA_D1_55
套装ID:302 名字:强化的圣灵守护者锁链套装      STR值：STR_WORLD_CH_DEVA_D1_55
套装ID:303 名字:强化的圣灵守护者金属套装      STR值：STR_WORLD_PL_DEVA_D1_55
套装ID:304 名字:阿努哈尔特吟游星套装      STR值：STR_RB_IDLF1_BARD
套装ID:305 名字:帕休曼迪尔吟游星套装      STR值：STR_RB_CATACOMBS_BARD
套装ID:306 名字:抵抗军枪炮星之皮革套装      STR值：STR_LT_YUN_GUNNER
套装ID:307 名字:抵抗军吟游星之长袍套装      STR值：STR_RB_YUN_BARD
套装ID:308 名字:卡塔拉姆之勇气套装      STR值：STR_AC_CATALAM_MELEE
套装ID:309 名字:卡塔拉姆之智慧套装      STR值：STR_AC_CATALAM_CASTER
套装ID:310 名字:卡伦之魔力皮革套装      STR值：STR_LT_NQ_E_60B
套装ID:311 名字:鸢族精锐兵之魔力皮革套装      STR值：STR_LT_NQ_U_60B
套装ID:312 名字:鸢族军团兵之魔力皮革套装      STR值：STR_LT_NQ_L_60B
套装ID:313 名字:鸢族训练兵之魔力皮革套装      STR值：STR_LT_NQ_L_57B
套装ID:314 名字:精锐守卫亲卫队长之魔力皮革套装      STR值：STR_LT_A_E2_60B
套装ID:315 名字:精锐守卫亲卫队之魔力皮革套装      STR值：STR_LT_A_U2_60B
套装ID:316 名字:精锐守卫千夫长之魔力皮革套装      STR值：STR_LT_A_U_50B
套装ID:317 名字:精锐守卫百夫长之魔力皮革套装      STR值：STR_LT_A_U_40B
套装ID:318 名字:精锐守卫十夫长之魔力皮革套装      STR值：STR_LT_A_U_30B
套装ID:319 名字:精锐执政官亲卫队长之魔力皮革套装      STR值：STR_LT_D_A_E2_60B
套装ID:320 名字:精锐执政官亲卫队之魔力皮革套装      STR值：STR_LT_D_A_U2_60B
套装ID:321 名字:精锐执政官千夫长之魔力皮革套装      STR值：STR_LT_D_A_U_50B
套装ID:322 名字:精锐执政官百夫长之魔力皮革套装      STR值：STR_LT_D_A_U_40B
套装ID:323 名字:精锐执政官十夫长之魔力皮革套装      STR值：STR_LT_D_A_U_30B
套装ID:324 名字:古代精灵之魔力皮革套装      STR值：STR_LT_IDELEMENTAL_E_60B
套装ID:325 名字:拉克莎军团兵之魔力皮革套装      STR值：STR_LT_RAKSHA_U_NAMED_02
套装ID:326 名字:鲁德拉之魔力皮革套装      STR值：STR_LT_CATACOMBS_E_NAMED_B
套装ID:327 名字:帕休曼迪尔枪炮星套装      STR值：STR_LT_CATACOMBS_GUNNER
套装ID:328 名字:帕德玛夏魔力皮革套装      STR值：STR_LT_DRAMATA_E_NAMED_02
套装ID:329 名字:阿努哈尔特枪炮星套装      STR值：STR_LT_IDLF1_GUNNER
套装ID:330 名字:铁胡子海盗团之魔力皮革套装      STR值：STR_LT_SHULACK_U_NAMED_02
套装ID:331 名字:荣耀守卫征服者红晶石套装      STR值：STR_A_AC_S1_60A
套装ID:332 名字:荣耀守卫征服者绿松石套装      STR值：STR_A_AC_S1_60B
套装ID:333 名字:荣耀征服者之执政官红晶石套装      STR值：STR_D_AC_S1_60A
套装ID:334 名字:荣耀征服者之执政官绿松石套装      STR值：STR_D_AC_S1_60B
套装ID:335 名字:希佩里安之守护星套装      STR值：STR_PL_RUNEWEAPON_KNIGHT_E_01
套装ID:336 名字:愤怒的希佩里安之守护星套装      STR值：STR_PL_RUNEWEAPON_KNIGHT_M_01
套装ID:337 名字:震怒的希佩里安之守护星套装      STR值：STR_PL_RUNEWEAPON_KNIGHT_M_02
套装ID:338 名字:希佩里安之剑星套装      STR值：STR_PL_RUNEWEAPON_FIGHTER_E_01
套装ID:339 名字:愤怒的希佩里安之剑星套装      STR值：STR_PL_RUNEWEAPON_FIGHTER_M_01
套装ID:340 名字:震怒的希佩里安之剑星套装      STR值：STR_PL_RUNEWEAPON_FIGHTER_M_02
套装ID:341 名字:希佩里安之杀星套装      STR值：STR_LT_RUNEWEAPON_ASSASSIN_E_01
套装ID:342 名字:愤怒的希佩里安之杀星套装      STR值：STR_LT_RUNEWEAPON_ASSASSIN_M_01
套装ID:343 名字:震怒的希佩里安之杀星套装      STR值：STR_LT_RUNEWEAPON_ASSASSIN_M_02
套装ID:344 名字:希佩里安之弓星套装      STR值：STR_LT_RUNEWEAPON_RANGER_E_01
套装ID:345 名字:愤怒的希佩里安之弓星套装      STR值：STR_LT_RUNEWEAPON_RANGER_M_01
套装ID:346 名字:震怒的希佩里安之弓星套装      STR值：STR_LT_RUNEWEAPON_RANGER_M_02
套装ID:347 名字:希佩里安之枪炮星套装      STR值：STR_LT_RUNEWEAPON_GUNNER_E_01
套装ID:348 名字:愤怒的希佩里安之枪炮星套装      STR值：STR_LT_RUNEWEAPON_GUNNER_M_01
套装ID:349 名字:震怒的希佩里安之枪炮星套装      STR值：STR_LT_RUNEWEAPON_GUNNER_M_02
套装ID:350 名字:希佩里安之治愈星套装      STR值：STR_CH_RUNEWEAPON_PRIEST_E_01
套装ID:351 名字:愤怒的希佩里安之治愈星套装      STR值：STR_CH_RUNEWEAPON_PRIEST_M_01
套装ID:352 名字:震怒的希佩里安之治愈星套装      STR值：STR_CH_RUNEWEAPON_PRIEST_M_02
套装ID:353 名字:希佩里安之护法星套装      STR值：STR_CH_RUNEWEAPON_CHANTER_E_01
套装ID:354 名字:愤怒的希佩里安之护法星套装      STR值：STR_CH_RUNEWEAPON_CHANTER_M_01
套装ID:355 名字:震怒的希佩里安之护法星套装      STR值：STR_CH_RUNEWEAPON_CHANTER_M_02
套装ID:356 名字:希佩里安之魔道星套装      STR值：STR_RB_RUNEWEAPON_WIZARD_E_01
套装ID:357 名字:愤怒的希佩里安之魔道星套装      STR值：STR_RB_RUNEWEAPON_WIZARD_M_01
套装ID:358 名字:震怒的希佩里安之魔道星套装      STR值：STR_RB_RUNEWEAPON_WIZARD_M_02
套装ID:359 名字:希佩里安之精灵星套装      STR值：STR_RB_RUNEWEAPON_ELEMENTALIST_E_01
套装ID:360 名字:愤怒的希佩里安之精灵星套装      STR值：STR_RB_RUNEWEAPON_ELEMENTALIST_M_01
套装ID:361 名字:震怒的希佩里安之精灵星套装      STR值：STR_RB_RUNEWEAPON_ELEMENTALIST_M_02
套装ID:362 名字:希佩里安之吟游星套装      STR值：STR_RB_RUNEWEAPON_BARD_E_01
套装ID:363 名字:愤怒的希佩里安之吟游星套装      STR值：STR_RB_RUNEWEAPON_BARD_M_01
套装ID:364 名字:震怒的希佩里安之吟游星套装      STR值：STR_RB_RUNEWEAPON_BARD_M_02
套装ID:365 名字:希佩里安之猫眼石套装      STR值：STR_AC_RUNEWEAPON_E_01
套装ID:366 名字:希佩里安之达利特宝石套装      STR值：STR_AC_RUNEWEAPON_E_02
套装ID:367 名字:希佩里安之黑金套装      STR值：STR_AC_RUNEWEAPON_E_03
套装ID:368 名字:愤怒的希佩里安之猫眼石套装      STR值：STR_AC_RUNEWEAPON_M_01
套装ID:369 名字:愤怒的希佩里安之达利特宝石套装      STR值：STR_AC_RUNEWEAPON_M_02
套装ID:370 名字:愤怒的希佩里安之黑金套装      STR值：STR_AC_RUNEWEAPON_M_03
套装ID:371 名字:强化的圣灵守护者皮革套装      STR值：STR_WORLD_LT_DEVA_E1_55F
套装ID:372 名字:强化的圣灵守护者皮革套装      STR值：STR_WORLD_LT_DEVA_D1_55F
套装ID:373 名字:初心者之守卫皮革套装      STR值：STR_LT_EVENT_A_U_40B
套装ID:374 名字:初心者之执政官皮革套装      STR值：STR_LT_EVENT_D_A_U_40B
套装ID:375 名字:鸢族军团兵之手枪套装      STR值：STR_GUNX2_NC_L_60A
套装ID:376 名字:鸢族精锐兵之手枪套装      STR值：STR_GUNX2_NC_U_60A
套装ID:377 名字:卡伦之手枪套装      STR值：STR_GUNX2_NC_E_60A
套装ID:378 名字:闪光之皮革套装      STR值：STR_LT_SET_L2_30B
套装ID:379 名字:米拉詹特之皮革套装      STR值：STR_LT_SET_U2_50B
套装ID:380 名字:潘利尔之皮革套装      STR值：STR_LT_D_SET_U2_50B
套装ID:381 名字:遗忘希埃尔之皮革套装      STR值：STR_LT_DEVA_E1_60B
套装ID:382 名字:鸢族训练兵之魔力枪套装      STR值：STR_GUNX2_NC_L_57A
套装ID:383 名字:测试_重新鉴定_套装效果_应用      STR值：STR_SWORDX2_TEST_REIDENTIFY
套装ID:384 名字:测试_神石发动抑制_套装效果_应用      STR值：STR_SWORDX2_TEST_PROCREDUCERATE
套装ID:385 名字:卡伦之魔力锁链套装      STR值：STR_CH_NQ_E_60B
套装ID:386 名字:鸢族精锐兵之魔力锁链套装      STR值：STR_CH_NQ_U_60B
套装ID:387 名字:鸢族军团兵之魔力锁链套装      STR值：STR_CH_NQ_L_60B
套装ID:388 名字:鸢族训练兵之魔力锁链套装      STR值：STR_CH_NQ_L_57B
套装ID:389 名字:古代精灵之魔力锁链套装      STR值：STR_CH_IDELEMENTAL_E_60B
套装ID:390 名字:拉克莎军团兵之魔力锁链套装      STR值：STR_CH_RAKSHA_U_NAMED_02
套装ID:391 名字:鲁德拉之魔力锁链套装      STR值：STR_CH_CATACOMBS_E_NAMED_B
套装ID:392 名字:帕休曼迪尔机甲星套装      STR值：STR_CH_CATACOMBS_GUNNER
套装ID:393 名字:帕德玛夏魔力锁链套装      STR值：STR_CH_DRAMATA_E_NAMED_02
套装ID:394 名字:阿努哈尔特机甲星套装      STR值：STR_CH_IDLF1_GUNNER
套装ID:395 名字:铁胡子海盗团之魔力锁链套装      STR值：STR_CH_SHULACK_U_NAMED_02
套装ID:396 名字:希佩里安之机甲星套装      STR值：STR_CH_RUNEWEAPON_RIDER_E_01
套装ID:397 名字:愤怒的希佩里安之机甲星套装      STR值：STR_CH_RUNEWEAPON_RIDER_M_01
套装ID:398 名字:震怒的希佩里安之机甲星套装      STR值：STR_CH_RUNEWEAPON_RIDER_M_02
套装ID:399 名字:遗忘希埃尔之魔力锁链套装      STR值：STR_CH_DEVA_E1_60B
套装ID:400 名字:守卫特务官之神圣金属套装      STR值：STR_PL_A_LI_KNIGHT_EM_01
套装ID:401 名字:守卫特战官之神圣金属套装      STR值：STR_PL_A_LI_FIGHTER_EM_01
套装ID:402 名字:守卫特务官之神圣皮革套装      STR值：STR_LT_A_LI_ASSASSIN_EM_01
套装ID:403 名字:守卫特战官之神圣皮革套装      STR值：STR_LT_A_LI_GUNNER_EM_01
套装ID:404 名字:守卫特务官之神圣锁链套装      STR值：STR_CH_A_LI_PRIEST_EM_01
套装ID:405 名字:守卫特战官之神圣锁链套装      STR值：STR_CH_A_LI_CHANTER_EM_01
套装ID:406 名字:守卫特务官之神圣长袍套装      STR值：STR_RB_A_LI_WIZARD_EM_01
套装ID:407 名字:守卫特战官之神圣长袍套装      STR值：STR_RB_A_LI_BARD_EM_01
套装ID:408 名字:执政官特务官之神圣金属套装      STR值：STR_PL_D_A_LI_KNIGHT_EM_01
套装ID:409 名字:执政官特战官之神圣金属套装      STR值：STR_PL_D_A_LI_FIGHTER_EM_01
套装ID:410 名字:执政官特务官之神圣皮革套装      STR值：STR_LT_D_A_LI_D_ASSASSIN_EM_01
套装ID:411 名字:执政官特战官之神圣皮革套装      STR值：STR_LT_D_A_LI_GUNNER_EM_01
套装ID:412 名字:执政官特务官之神圣锁链套装      STR值：STR_CH_D_A_LI_PRIEST_EM_01
套装ID:413 名字:执政官特战官之神圣锁链套装      STR值：STR_CH_D_A_LI_CHANTER_EM_01
套装ID:414 名字:执政官特务官之神圣长袍套装      STR值：STR_RB_D_A_LI_WIZARD_EM_01
套装ID:415 名字:执政官特战官之神圣长袍套装      STR值：STR_RB_D_A_LI_BARD_EM_01
套装ID:416 名字:抵抗军机甲星之锁链套装      STR值：STR_CH_YUN_RIDER
套装ID:417 名字:测试_PVP主动防御_套装效果      STR值：STR_SWORDX2_TEST_PVPSTAT
套装ID:418 名字:耀眼的圣灵守护者魔力皮革套装      STR值：STR_EVENT_LT_SET_U2_50B
套装ID:419 名字:耀眼的圣灵守护者魔力皮革套装      STR值：STR_EVENT_LT_D_SET_U2_50B
套装ID:420 名字:耀眼的圣灵守护者长袍套装      STR值：STR_EVENT_RB_SET_U2_50
套装ID:421 名字:耀眼的圣灵守护者皮革套装      STR值：STR_EVENT_LT_SET_U2_50
套装ID:422 名字:耀眼的圣灵守护者锁链套装      STR值：STR_EVENT_CH_SET_U2_50
套装ID:423 名字:耀眼的圣灵守护者金属套装      STR值：STR_EVENT_PL_SET_U2_50
套装ID:424 名字:耀眼的圣灵守护者长袍套装      STR值：STR_EVENT_RB_D_SET_U2_50
套装ID:425 名字:耀眼的圣灵守护者皮革套装      STR值：STR_EVENT_LT_D_SET_U2_50
套装ID:426 名字:耀眼的圣灵守护者锁链套装      STR值：STR_EVENT_CH_D_SET_U2_50
套装ID:427 名字:耀眼的圣灵守护者金属套装      STR值：STR_EVENT_PL_D_SET_U2_50
套装ID:444 名字:守卫特务队长之神圣金属套装      STR值：STR_PL_A_HI_KNIGHT_M2_01
套装ID:445 名字:守卫特战队长之神圣金属套装      STR值：STR_PL_A_HI_FIGHTER_M2_01
套装ID:446 名字:守卫特务队长之神圣皮革套装      STR值：STR_LT_A_HI_ASSASSIN_M2_01
套装ID:447 名字:守卫特战队长之神圣皮革套装      STR值：STR_LT_A_HI_GUNNER_M2_01
套装ID:448 名字:守卫特务队长之神圣锁链套装      STR值：STR_CH_A_HI_PRIEST_M2_01
套装ID:449 名字:守卫特战队长之神圣锁链套装      STR值：STR_CH_A_HI_CHANTER_M2_01
套装ID:450 名字:守卫特务队长之神圣长袍套装      STR值：STR_RB_A_HI_WIZARD_M2_01
套装ID:451 名字:守卫特战队长之神圣长袍套装      STR值：STR_RB_A_HI_BARD_M2_01
套装ID:452 名字:执政官特务队长之神圣金属套装      STR值：STR_PL_D_A_HI_KNIGHT_M2_01
套装ID:453 名字:执政官特战队长之神圣金属套装      STR值：STR_PL_D_A_HI_FIGHTER_M2_01
套装ID:454 名字:执政官特务队长之神圣皮革套装      STR值：STR_LT_D_A_HI_D_ASSASSIN_M2_01
套装ID:455 名字:执政官特战队长之神圣皮革套装      STR值：STR_LT_D_A_HI_GUNNER_M2_01
套装ID:456 名字:执政官特务队长之神圣锁链套装      STR值：STR_CH_D_A_HI_PRIEST_M2_01
套装ID:457 名字:执政官特战队长之神圣锁链套装      STR值：STR_CH_D_A_HI_CHANTER_M2_01
套装ID:458 名字:执政官特务队长之神圣长袍套装      STR值：STR_RB_D_A_HI_WIZARD_M2_01
套装ID:459 名字:执政官特战队长之神圣长袍套装      STR值：STR_RB_D_A_HI_BARD_M2_01
套装ID:464 名字:增强型愤怒的希佩里安之守护星套装      STR值：STR_PL_RUNEWEAPON_KNIGHT_M2_01
套装ID:465 名字:增强型震怒的希佩里安之守护星套装      STR值：STR_PL_RUNEWEAPON_KNIGHT_M2_02
套装ID:466 名字:增强型愤怒的希佩里安之剑星套装      STR值：STR_PL_RUNEWEAPON_FIGHTER_M2_01
套装ID:467 名字:增强型震怒的希佩里安之剑星套装      STR值：STR_PL_RUNEWEAPON_FIGHTER_M2_02
套装ID:468 名字:增强型愤怒的希佩里安之杀星套装      STR值：STR_LT_RUNEWEAPON_ASSASSIN_M2_01
套装ID:469 名字:增强型震怒的希佩里安之杀星套装      STR值：STR_LT_RUNEWEAPON_ASSASSIN_M2_02
套装ID:470 名字:增强型愤怒的希佩里安之弓星套装      STR值：STR_LT_RUNEWEAPON_RANGER_M2_01
套装ID:471 名字:增强型震怒的希佩里安之弓星套装      STR值：STR_LT_RUNEWEAPON_RANGER_M2_02
套装ID:472 名字:增强型愤怒的希佩里安之枪炮星套装      STR值：STR_LT_RUNEWEAPON_GUNNER_M2_01
套装ID:473 名字:增强型震怒的希佩里安之枪炮星套装      STR值：STR_LT_RUNEWEAPON_GUNNER_M2_02
套装ID:474 名字:增强型愤怒的希佩里安之治愈星套装      STR值：STR_CH_RUNEWEAPON_PRIEST_M2_01
套装ID:475 名字:增强型震怒的希佩里安之治愈星套装      STR值：STR_CH_RUNEWEAPON_PRIEST_M2_02
套装ID:476 名字:增强型愤怒的希佩里安之护法星套装      STR值：STR_CH_RUNEWEAPON_CHANTER_M2_01
套装ID:477 名字:增强型震怒的希佩里安之护法星套装      STR值：STR_CH_RUNEWEAPON_CHANTER_M2_02
套装ID:478 名字:增强型愤怒的希佩里安之魔道星套装      STR值：STR_RB_RUNEWEAPON_WIZARD_M2_01
套装ID:479 名字:增强型震怒的希佩里安之魔道星套装      STR值：STR_RB_RUNEWEAPON_WIZARD_M2_02
套装ID:480 名字:增强型愤怒的希佩里安之精灵星套装      STR值：STR_RB_RUNEWEAPON_ELEMENTALIST_M2_01
套装ID:481 名字:增强型震怒的希佩里安之精灵星套装      STR值：STR_RB_RUNEWEAPON_ELEMENTALIST_M2_02
套装ID:482 名字:增强型愤怒的希佩里安之吟游星套装      STR值：STR_RB_RUNEWEAPON_BARD_M2_01
套装ID:483 名字:增强型震怒的希佩里安之吟游星套装      STR值：STR_RB_RUNEWEAPON_BARD_M2_02
套装ID:484 名字:增强型愤怒的希佩里安之机甲星套装      STR值：STR_CH_RUNEWEAPON_RIDER_M2_01
套装ID:485 名字:增强型震怒的希佩里安之机甲星套装      STR值：STR_CH_RUNEWEAPON_RIDER_M2_02
套装ID:486 名字:守卫特务执行官之神圣金属套装      STR值：STR_PL_A_LI_KNIGHT_EM_03
套装ID:487 名字:守卫特战执行官之神圣金属套装      STR值：STR_PL_A_LI_FIGHTER_EM_03
套装ID:488 名字:守卫特务执行官之神圣皮革套装      STR值：STR_LT_A_LI_ASSASSIN_EM_03
套装ID:489 名字:守卫特战执行官之神圣皮革套装      STR值：STR_LT_A_LI_GUNNER_EM_03
套装ID:490 名字:守卫特务执行官之神圣锁链套装      STR值：STR_CH_A_LI_PRIEST_EM_03
套装ID:491 名字:守卫特战执行官之神圣锁链套装      STR值：STR_CH_A_LI_CHANTER_EM_03
套装ID:492 名字:守卫特务执行官之神圣长袍套装      STR值：STR_RB_A_LI_WIZARD_EM_03
套装ID:493 名字:守卫特战执行官之神圣长袍套装      STR值：STR_RB_A_LI_BARD_EM_03
套装ID:494 名字:执政官特务执行官之神圣金属套装      STR值：STR_PL_D_A_LI_KNIGHT_EM_03
套装ID:495 名字:执政官特战执行官之神圣金属套装      STR值：STR_PL_D_A_LI_FIGHTER_EM_03
套装ID:496 名字:执政官特务执行官之神圣皮革套装      STR值：STR_LT_D_A_LI_D_ASSASSIN_EM_03
套装ID:497 名字:执政官特战执行官之神圣皮革套装      STR值：STR_LT_D_A_LI_GUNNER_EM_03
套装ID:498 名字:执政官特务执行官之神圣锁链套装      STR值：STR_CH_D_A_LI_PRIEST_EM_03
套装ID:499 名字:执政官特战执行官之神圣锁链套装      STR值：STR_CH_D_A_LI_CHANTER_EM_03
套装ID:500 名字:执政官特务执行官之神圣长袍套装      STR值：STR_RB_D_A_LI_WIZARD_EM_03
套装ID:501 名字:执政官特战执行官之神圣长袍套装      STR值：STR_RB_D_A_LI_BARD_EM_03
套装ID:502 名字:守卫特务执行队长之神圣金属套装      STR值：STR_PL_A_HI_KNIGHT_M2_03
套装ID:503 名字:守卫特战执行队长之神圣金属套装      STR值：STR_PL_A_HI_FIGHTER_M2_03
套装ID:504 名字:守卫特务执行队长之神圣皮革套装      STR值：STR_LT_A_HI_ASSASSIN_M2_03
套装ID:505 名字:守卫特战执行队长之神圣皮革套装      STR值：STR_LT_A_HI_GUNNER_M2_03
套装ID:506 名字:守卫特务执行队长之神圣锁链套装      STR值：STR_CH_A_HI_PRIEST_M2_03
套装ID:507 名字:守卫特战执行队长之神圣锁链套装      STR值：STR_CH_A_HI_CHANTER_M2_03
套装ID:508 名字:守卫特务执行队长之神圣长袍套装      STR值：STR_RB_A_HI_WIZARD_M2_03
套装ID:509 名字:守卫特战执行队长之神圣长袍套装      STR值：STR_RB_A_HI_BARD_M2_03
套装ID:510 名字:执政官特务执行队长之神圣金属套装      STR值：STR_PL_D_A_HI_KNIGHT_M2_03
套装ID:511 名字:执政官特战执行队长之神圣金属套装      STR值：STR_PL_D_A_HI_FIGHTER_M2_03
套装ID:512 名字:执政官特务执行队长之神圣皮革套装      STR值：STR_LT_D_A_HI_D_ASSASSIN_M2_03
套装ID:513 名字:执政官特战执行队长之神圣皮革套装      STR值：STR_LT_D_A_HI_GUNNER_M2_03
套装ID:514 名字:执政官特务执行队长之神圣锁链套装      STR值：STR_CH_D_A_HI_PRIEST_M2_03
套装ID:515 名字:执政官特战执行队长之神圣锁链套装      STR值：STR_CH_D_A_HI_CHANTER_M2_03
套装ID:516 名字:执政官特务执行队长之神圣长袍套装      STR值：STR_RB_D_A_HI_WIZARD_M2_03
套装ID:517 名字:执政官特战执行队长之神圣长袍套装      STR值：STR_RB_D_A_HI_BARD_M2_03
套装ID:518 名字:精锐派遣队之圣灵守护者长袍套装      STR值：STR_RB_RETURN_DEVA_E1
套装ID:519 名字:精锐派遣队之圣灵守护者皮革套装      STR值：STR_LT_RETURN_DEVA_E1
套装ID:520 名字:精锐派遣队之圣灵守护者魔力皮革套装      STR值：STR_LT_RETURN_DEVA_E2
套装ID:521 名字:精锐派遣队之圣灵守护者锁链套装      STR值：STR_CH_RETURN_DEVA_E1
套装ID:522 名字:派遣队之圣灵守护者魔力锁链套装      STR值：STR_CH_RETURN_DEVA_E2
套装ID:523 名字:派遣队之圣灵守护者金属套装      STR值：STR_PL_RETURN_DEVA_E1
套装ID:524 名字:派遣队之圣灵守护者魔力皮革套装      STR值：STR_LT_50RETURN_DEVA_U2
套装ID:525 名字:派遣队之圣灵守护者长袍套装      STR值：STR_RB_50RETURN_DEVA_U1
套装ID:526 名字:派遣队之圣灵守护者皮革套装      STR值：STR_LT_50RETURN_DEVA_U1
套装ID:527 名字:派遣队之圣灵守护者锁链套装      STR值：STR_CH_50RETURN_DEVA_U1
套装ID:528 名字:派遣队之圣灵守护者金属套装      STR值：STR_PL_50RETURN_DEVA_U1
套装ID:529 名字:纳斯托之鳞剑套装      STR值：STR_SWORDX2_RAKSHA_U_60E
套装ID:530 名字:纳斯托之匕首套装      STR值：STR_DAGGERX2_RAKSHA_U_60E
套装ID:531 名字:纳斯托之枪鳞剑套装      STR值：STR_SWORDXSHIELD_RAKSHA_U_60E
套装ID:532 名字:纳斯托之战斗锤套装      STR值：STR_MACEXSHIELD_RAKSHA_U_60E
套装ID:533 名字:纳斯托之魔力枪套装      STR值：STR_GUNX2_RAKSHA_U_60E
套装ID:534 名字:纳斯托军团兵之长袍套装      STR值：STR_RB_RAKSHA_U_60E
套装ID:535 名字:纳斯托军团兵之皮革套装      STR值：STR_LT_RAKSHA_U_60E
套装ID:536 名字:纳斯托军团兵之锁链套装      STR值：STR_CH_RAKSHA_U_60E
套装ID:537 名字:纳斯托军团兵之金属套装      STR值：STR_PL_RAKSHA_U_60E
套装ID:538 名字:纳斯托军团兵之魔力皮革套装      STR值：STR_LT_RAKSHA_U_60F
套装ID:539 名字:纳斯托军团兵之魔力锁链套装      STR值：STR_CH_RAKSHA_U_60F
套装ID:540 名字:兰图斯收复队之长袍套装      STR值：STR_RB_IDYUN_E_60E
套装ID:541 名字:兰图斯收复队之皮革套装      STR值：STR_LT_IDYUN_E_60E
套装ID:542 名字:兰图斯收复队之锁链套装      STR值：STR_CH_IDYUN_E_60E
套装ID:543 名字:兰图斯收复队之金属套装      STR值：STR_PL_IDYUN_E_60E
套装ID:544 名字:兰图斯收复队之魔力皮革套装      STR值：STR_LT_IDYUN_E_60F
套装ID:545 名字:兰图斯收复队之魔力锁链套装      STR值：STR_CH_IDYUN_E_60F
套装ID:546 名字:布里特拉龙帝之守护星套装      STR值：STR_PL_IDSEAL_KNIGHT_E_01
套装ID:547 名字:昏暗龙帝之守护星套装      STR值：STR_PL_IDSEAL_KNIGHT_M_01
套装ID:548 名字:暗黑龙帝之守护星套装      STR值：STR_PL_IDSEAL_KNIGHT_M_02
套装ID:549 名字:布里特拉龙帝之剑星套装      STR值：STR_PL_IDSEAL_FIGHTER_E_01
套装ID:550 名字:昏暗龙帝之剑星套装      STR值：STR_PL_IDSEAL_FIGHTER_M_01
套装ID:551 名字:暗黑龙帝之剑星套装      STR值：STR_PL_IDSEAL_FIGHTER_M_02
套装ID:552 名字:布里特拉龙帝之杀星套装      STR值：STR_LT_IDSEAL_ASSASSIN_E_01
套装ID:553 名字:昏暗龙帝之杀星套装      STR值：STR_LT_IDSEAL_ASSASSIN_M_01
套装ID:554 名字:暗黑龙帝之杀星套装      STR值：STR_LT_IDSEAL_ASSASSIN_M_02
套装ID:555 名字:布里特拉龙帝之弓星套装      STR值：STR_LT_IDSEAL_RANGER_E_01
套装ID:556 名字:昏暗龙帝之弓星套装      STR值：STR_LT_IDSEAL_RANGER_M_01
套装ID:557 名字:暗黑龙帝之弓星套装      STR值：STR_LT_IDSEAL_RANGER_M_02
套装ID:558 名字:布里特拉龙帝之枪炮星套装      STR值：STR_LT_IDSEAL_GUNNER_E_01
套装ID:559 名字:昏暗龙帝之枪炮星套装      STR值：STR_LT_IDSEAL_GUNNER_M_01
套装ID:560 名字:暗黑龙帝之枪炮星套装      STR值：STR_LT_IDSEAL_GUNNER_M_02
套装ID:561 名字:布里特拉龙帝之治愈星套装      STR值：STR_CH_IDSEAL_PRIEST_E_01
套装ID:562 名字:昏暗龙帝之治愈星套装      STR值：STR_CH_IDSEAL_PRIEST_M_01
套装ID:563 名字:暗黑龙帝之治愈星套装      STR值：STR_CH_IDSEAL_PRIEST_M_02
套装ID:564 名字:布里特拉龙帝之护法星套装      STR值：STR_CH_IDSEAL_CHANTER_E_01
套装ID:565 名字:昏暗龙帝之护法星套装      STR值：STR_CH_IDSEAL_CHANTER_M_01
套装ID:566 名字:暗黑龙帝之护法星套装      STR值：STR_CH_IDSEAL_CHANTER_M_02
套装ID:567 名字:布里特拉龙帝之机甲星套装      STR值：STR_CH_IDSEAL_RIDER_E_01
套装ID:568 名字:昏暗龙帝之机甲星套装      STR值：STR_CH_IDSEAL_RIDER_M_01
套装ID:569 名字:暗黑龙帝之机甲星套装      STR值：STR_CH_IDSEAL_RIDER_M_02
套装ID:570 名字:布里特拉龙帝之魔道星套装      STR值：STR_RB_IDSEAL_WIZARD_E_01
套装ID:571 名字:昏暗龙帝之魔道星套装      STR值：STR_RB_IDSEAL_WIZARD_M_01
套装ID:572 名字:暗黑龙帝之魔道星套装      STR值：STR_RB_IDSEAL_WIZARD_M_02
套装ID:573 名字:布里特拉龙帝之精灵星套装      STR值：STR_RB_IDSEAL_ELEMENTALIST_E_01
套装ID:574 名字:昏暗龙帝之精灵星套装      STR值：STR_RB_IDSEAL_ELEMENTALIST_M_01
套装ID:575 名字:暗黑龙帝之精灵星套装      STR值：STR_RB_IDSEAL_ELEMENTALIST_M_02
套装ID:576 名字:布里特拉龙帝之吟游星套装      STR值：STR_RB_IDSEAL_BARD_E_01
套装ID:577 名字:昏暗龙帝之吟游星套装      STR值：STR_RB_IDSEAL_BARD_M_01
套装ID:578 名字:暗黑龙帝之吟游星套装      STR值：STR_RB_IDSEAL_BARD_M_02
套装ID:579 名字:提示组件测试用长袍套装      STR值：STR_TEST_ROBE_UI_65A
套装ID:580 名字:凯西内尔守护者之金属套装      STR值：STR_PL_TORSO_V_M2_A
套装ID:581 名字:进化的凯西内尔守护者之金属套装      STR值：STR_PL_TORSO_V_M3_A
