========================================
= 物品ID数据，由灰色枫叶GM工具自动生成 =
========================================
物品ID:100000001 名字:瑟库拉斯之剑      STR值：STR_SWORD_CIRCULOUS
物品ID:100200674 名字:闪光之短剑      STR值：STR_DAGGER_D_V_L2_Q_30A
物品ID:100200675 名字:斯尼伦的零食      STR值：STR_DAGGER_N_R2_H_44A
物品ID:100200676 名字:斯尼伦的零食      STR值：STR_DAGGER_D_N_R2_H_44A
物品ID:100200677 名字:特里罗安之短刀      STR值：STR_DAGGER_N_U1_50B
物品ID:100200678 名字:兰马尔克之短刀      STR值：STR_DAGGER_D_N_U1_50B
物品ID:100200679 名字:45级杀星平均装备短剑右手(短短)      STR值：STR_TEST_DAGGER_AS_45A
物品ID:100200680 名字:45级杀星平均装备短剑左手(短短)      STR值：STR_TEST_DAGGER_AS_45B
物品ID:100200681 名字:45级杀星平均装备短剑右手(短长)      STR值：STR_TEST_DAGGER_AS_45C
物品ID:100200682 名字:NPC天族欧比斯短剑 02      STR值：STR_NPC_DAGGER_A_R_02
物品ID:100200683 名字:NPC天族欧比斯短剑 03      STR值：STR_NPC_DAGGER_A_R_03
物品ID:100200684 名字:NPC天族欧比斯短剑 04      STR值：STR_NPC_DAGGER_A_R_04
物品ID:100200685 名字:NPC天族龙语短剑 01      STR值：STR_NPC_DAGGER_D_R_01
物品ID:100200686 名字:NPC天族龙语短剑 02      STR值：STR_NPC_DAGGER_D_R_02
物品ID:100200687 名字:NPC天族龙语短剑 03      STR值：STR_NPC_DAGGER_D_R_03
物品ID:100200688 名字:NPC天族龙语短剑 04      STR值：STR_NPC_DAGGER_D_R_04
物品ID:100200689 名字:NPC魔族欧比斯短剑 02      STR值：STR_NPC_DAGGER_D_A_R_02
物品ID:100200690 名字:NPC魔族欧比斯短剑 03      STR值：STR_NPC_DAGGER_D_A_R_03
物品ID:100200691 名字:NPC魔族欧比斯短剑 04      STR值：STR_NPC_DAGGER_D_A_R_04
物品ID:100200692 名字:NPC魔族龙语短剑 01      STR值：STR_NPC_DAGGER_D_D_R_01
物品ID:100200693 名字:NPC魔族龙语短剑 02      STR值：STR_NPC_DAGGER_D_D_R_02
物品ID:100200694 名字:NPC魔族龙语短剑 03      STR值：STR_NPC_DAGGER_D_D_R_03
物品ID:100200695 名字:NPC魔族龙语短剑 04      STR值：STR_NPC_DAGGER_D_D_R_04
物品ID:100200696 名字:诺赫西纳训练所长之短刀      STR值：STR_DAGGER_N_L1_A_25A
物品ID:100200697 名字:埃雷修兰塔短剑      STR值：STR_DAGGER_N_L1_36B
物品ID:100200698 名字:古代埃雷修兰塔短剑      STR值：STR_DAGGER_N_L1_48B
物品ID:100200699 名字:短剑_N_L1_50B      STR值：STR_DAGGER_N_L1_50B
物品ID:100200700 名字:阿努哈尔特精锐兵之短刀      STR值：STR_DAGGER_N_U1_AS_50A
物品ID:100200701 名字:阿努哈尔特精锐兵之匕首      STR值：STR_DAGGER_N_U1_AS_50B
物品ID:100200702 名字:塔哈巴塔之短刀      STR值：STR_DAGGER_N_E1_50A
物品ID:100200703 名字:神龙匕首      STR值：STR_DAGGER_N_U1_Q_48A
物品ID:100200704 名字:神龙匕首      STR值：STR_DAGGER_D_N_U1_Q_48A
物品ID:100200705 名字:黑暗术古短剑右手01(NPC)      STR值：STR_SHULACKDAGGER_R_01
物品ID:100200706 名字:黑暗术古短剑左手01(NPC)      STR值：STR_SHULACKDAGGER_L_01
物品ID:100200707 名字:黑暗术古短剑右手02(NPC)      STR值：STR_SHULACKDAGGER_R_02
物品ID:100200708 名字:黑暗术古短剑左手02(NPC)      STR值：STR_SHULACKDAGGER_L_02
物品ID:100200709 名字:黑暗术古杯子右手01(NPC-短剑)      STR值：STR_SHULACKCUP_R_01
物品ID:100200710 名字:黑暗术古杯子左手01(NPC-短剑)      STR值：STR_SHULACKCUP_L_01
物品ID:100200711 名字:胡特金之短刀      STR值：STR_DAGGER_N_U1_44A
物品ID:100200712 名字:弥酷隆隆之短剑      STR值：STR_DAGGER_N_L1_Q_42A
物品ID:100200713 名字:内克斯金属短剑      STR值：STR_DAGGER_N_U1_S_50A
物品ID:100200714 名字:发光的内克斯金属短剑      STR值：STR_DAGGER_N_U2_S_50A
物品ID:100200715 名字:内克斯金属短剑      STR值：STR_DAGGER_D_N_U1_S_50A
物品ID:100200716 名字:发光的内克斯金属短剑      STR值：STR_DAGGER_D_N_U2_S_50A
物品ID:100200717 名字:守卫下士之短刀      STR值：STR_DAGGER_A_L2_35A
物品ID:100200718 名字:守卫士官之短刀      STR值：STR_DAGGER_A_L2_45A
物品ID:100200719 名字:执政官下士之短刀      STR值：STR_DAGGER_D_A_L2_35A
物品ID:100200720 名字:执政官士官之短刀      STR值：STR_DAGGER_D_A_L2_45A
物品ID:100200721 名字:临时数据短刀      STR值：STR_DAGGER_A_U2_35A
物品ID:100200722 名字:临时数据短刀      STR值：STR_DAGGER_A_U2_45A
物品ID:100200723 名字:精锐守卫千夫长之短刀      STR值：STR_DAGGER_A_U2_50B
物品ID:100200724 名字:临时数据短刀      STR值：STR_DAGGER_D_A_U2_35A
物品ID:100200725 名字:临时数据短刀      STR值：STR_DAGGER_D_A_U2_45A
物品ID:100200726 名字:精锐执政官千夫长之短刀      STR值：STR_DAGGER_D_A_U2_50B
物品ID:100200727 名字:何奥灵灵之短剑      STR值：STR_DAGGER_D_N_L1_Q_42A
物品ID:100200728 名字:泰鲁斯之短剑      STR值：STR_DAGGER_N_L0_Q_45A
物品ID:100200729 名字:布里阿兰之短剑      STR值：STR_DAGGER_D_N_L0_Q_45A
物品ID:100200730 名字:精锐守卫十夫长之短刀      STR值：STR_DAGGER_A_U2_30B
物品ID:100200731 名字:精锐守卫百夫长之短刀      STR值：STR_DAGGER_A_U2_40B
物品ID:100200732 名字:精锐执政官十夫长之短刀      STR值：STR_DAGGER_D_A_U2_30B
物品ID:100200733 名字:精锐执政官百夫长之短刀      STR值：STR_DAGGER_D_A_U2_40B
物品ID:100200734 名字:黑暗术古扇子 01(NPC)      STR值：STR_SHULACKFAN_01
物品ID:100200735 名字:黑暗术古扇子 02(NPC)      STR值：STR_SHULACKFAN_02
物品ID:100200736 名字:蜥蜴人短剑右手 01(NPC)      STR值：STR_LIZARDDAGGER_R_01
物品ID:100200737 名字:蜥蜴人短剑左手 01(NPC)      STR值：STR_LIZARDDAGGER_L_01
物品ID:100200738 名字:德拉坎短剑右手 02(NPC)      STR值：STR_DRAKANDAGGER_R_01
物品ID:100200739 名字:德拉坎短剑左手 02(NPC)      STR值：STR_DRAKANDAGGER_L_01
物品ID:100200740 名字:拉赫拉赫之爪      STR值：STR_DAGGER_N_R2_44A
物品ID:100200741 名字:测试用史诗短剑      STR值：STR_DAGGER_TEST_E2_50A
物品ID:100200742 名字:第47军团长之短刀      STR值：STR_DAGGER_D_N_U1_50D
物品ID:100200743 名字:55级测试用[%username]之史诗短剑      STR值：STR_DAGGER_TEST_N_E1_55A
物品ID:100200744 名字:英吉斯温派遣队之短剑      STR值：STR_DAGGER_N_C1_53A
物品ID:100200745 名字:格尔克马洛斯派遣队之短剑      STR值：STR_DAGGER_D_N_C1_53A
物品ID:100200746 名字:绝壁之短剑      STR值：STR_DAGGER_N_C2_R_52A
物品ID:100200747 名字:绝壁之短剑      STR值：STR_DAGGER_N_C2_R_52B
物品ID:100200748 名字:绝壁之短剑      STR值：STR_DAGGER_N_C2_R_52C
物品ID:100200749 名字:地狱之短刀      STR值：STR_DAGGER_N_R1_R_54A
物品ID:100200750 名字:地狱之短刀      STR值：STR_DAGGER_N_R1_R_54B
物品ID:100200751 名字:地狱之短刀      STR值：STR_DAGGER_N_R1_R_54C
物品ID:100200752 名字:无底洞之短刀      STR值：STR_DAGGER_N_L1_R_55A
物品ID:100200753 名字:无底洞之短刀      STR值：STR_DAGGER_N_L1_R_55B
物品ID:100200754 名字:无底洞之短刀      STR值：STR_DAGGER_N_L1_R_55C
物品ID:100200755 名字:平定之短刀      STR值：STR_DAGGER_N_U1_R_55A
物品ID:100200756 名字:52级魔族随机掉落C2短剑 A      STR值：STR_DAGGER_D_N_C2_R_52A
物品ID:100200757 名字:52级魔族随机掉落C2短剑 B      STR值：STR_DAGGER_D_N_C2_R_52B
物品ID:100200758 名字:52级魔族随机掉落C2短剑 C      STR值：STR_DAGGER_D_N_C2_R_52C
物品ID:100200759 名字:54级魔族随机掉落R1短剑 A      STR值：STR_DAGGER_D_N_R1_R_54A
物品ID:100200760 名字:54级魔族随机掉落R1短剑 B      STR值：STR_DAGGER_D_N_R1_R_54B
物品ID:100200761 名字:54级魔族随机掉落R1短剑 C      STR值：STR_DAGGER_D_N_R1_R_54C
物品ID:100200762 名字:55级魔族随机掉落L1短剑 A      STR值：STR_DAGGER_D_N_L1_R_55A
物品ID:100200763 名字:55级魔族随机掉落L1短剑 B      STR值：STR_DAGGER_D_N_L1_R_55B
物品ID:100200764 名字:55级魔族随机掉落L1短剑 C      STR值：STR_DAGGER_D_N_L1_R_55C
物品ID:100200765 名字:55级魔族随机掉落U1短剑      STR值：STR_DAGGER_D_N_U1_R_55A
物品ID:100200766 名字:混沌之短剑      STR值：STR_DAGGER_N_C2_A_54A
物品ID:100200767 名字:混沌之短剑      STR值：STR_DAGGER_N_C2_A_54B
物品ID:100200768 名字:混沌之短剑      STR值：STR_DAGGER_N_C2_A_54C
物品ID:100200769 名字:哭喊之短剑      STR值：STR_DAGGER_N_R1_A_52A
物品ID:100200770 名字:哭喊之短剑      STR值：STR_DAGGER_N_R1_A_52B
物品ID:100200771 名字:哭喊之短剑      STR值：STR_DAGGER_N_R1_A_52C
物品ID:100200772 名字:灭亡之短剑      STR值：STR_DAGGER_N_L1_A_53A
物品ID:100200773 名字:灭亡之短剑      STR值：STR_DAGGER_N_L1_A_53B
物品ID:100200774 名字:灭亡之短剑      STR值：STR_DAGGER_N_L1_A_53C
物品ID:100200775 名字:龙魂短剑      STR值：STR_DAGGER_N_C2_P_55A
物品ID:100200776 名字:闪光的龙魂短剑      STR值：STR_DAGGER_N_R1_P_55A
物品ID:100200777 名字:匠人之龙魂短剑      STR值：STR_DAGGER_N_R2_P_55A
物品ID:100200778 名字:匠人之发光的龙魂短剑      STR值：STR_DAGGER_N_L1_P_55A
物品ID:100200779 名字:达人之龙魂短剑      STR值：STR_DAGGER_N_L2_P_55A
物品ID:100200780 名字:达人之发光的龙魂短剑      STR值：STR_DAGGER_N_U1_P_55A
物品ID:100200781 名字:名人之龙魂短剑      STR值：STR_DAGGER_N_U2_P_55A
物品ID:100200782 名字:名人之发光的龙魂短剑      STR值：STR_DAGGER_N_E1_P_55A
物品ID:100200783 名字:龙魂短剑      STR值：STR_DAGGER_D_N_C2_P_55A
物品ID:100200784 名字:闪光的龙魂短剑      STR值：STR_DAGGER_D_N_R1_P_55A
物品ID:100200785 名字:匠人之龙魂短剑      STR值：STR_DAGGER_D_N_R2_P_55A
物品ID:100200786 名字:匠人之发光的龙魂短剑      STR值：STR_DAGGER_D_N_L1_P_55A
物品ID:100200787 名字:达人之龙魂短剑      STR值：STR_DAGGER_D_N_L2_P_55A
物品ID:100200788 名字:达人之发光的龙魂短剑      STR值：STR_DAGGER_D_N_U1_P_55A
物品ID:100200789 名字:名人之龙魂短剑      STR值：STR_DAGGER_D_N_U2_P_55A
物品ID:100200790 名字:名人之发光的龙魂短剑      STR值：STR_DAGGER_D_N_E1_P_55A
物品ID:100200791 名字:应龙之短剑      STR值：STR_DAGGER_D_R2_P_55A
物品ID:100200792 名字:闪光的应龙之短剑      STR值：STR_DAGGER_D_L1_P_55A
物品ID:100200793 名字:应龙王之短剑      STR值：STR_DAGGER_D_L2_P_55A
物品ID:100200794 名字:闪光的应龙王之短剑      STR值：STR_DAGGER_D_U1_P_55A
物品ID:100200795 名字:应龙天王之短剑      STR值：STR_DAGGER_D_U2_P_55A
物品ID:100200796 名字:闪光的应龙天王之短剑      STR值：STR_DAGGER_D_E1_P_55A
物品ID:100200797 名字:夔龙之短剑      STR值：STR_DAGGER_D_D_R2_P_55A
物品ID:100200798 名字:闪光的夔龙之短剑      STR值：STR_DAGGER_D_D_L1_P_55A
物品ID:100200799 名字:夔龙王之短剑      STR值：STR_DAGGER_D_D_L2_P_55A
物品ID:100200800 名字:闪光的夔龙王之短剑      STR值：STR_DAGGER_D_D_U1_P_55A
物品ID:100200801 名字:夔龙天王之短剑      STR值：STR_DAGGER_D_D_U2_P_55A
物品ID:100200802 名字:闪光的夔龙天王之短剑      STR值：STR_DAGGER_D_D_E1_P_55A
物品ID:100200803 名字:亚休克林的野味      STR值：STR_CASH_DAGGER_CHANGESKIN_01
物品ID:100200804 名字:阿努拉提之匕首      STR值：STR_DAGGER_N_U1_AS_52A
物品ID:100200805 名字:德比卡林之短刀      STR值：STR_DAGGER_N_U1_AS_52B
物品ID:100200806 名字:黑色暴风之短刀      STR值：STR_DAGGER_N_U1_AS_55A
物品ID:100200807 名字:鲁德拉之短刀      STR值：STR_DAGGER_N_E1_AS_55A
物品ID:100200808 名字:狂信徒NPC用短剑      STR值：STR_NPC_DAGGER_FANATIC_01
物品ID:100200809 名字:特伦克之短刀      STR值：STR_DAGGER_N_L1_51A
物品ID:100200810 名字:希埃尔的力量短剑      STR值：STR_DAGGER_N_R2_51A
物品ID:100200811 名字:npc鸢族短剑 01      STR值：STR_NPC_DAGGER_ANCIENTCLAN_01
物品ID:100200812 名字:马鲁金之短刀      STR值：STR_DAGGER_N_L1_51B
物品ID:100200813 名字:达利克之短刀      STR值：STR_DAGGER_N_R2_53A
物品ID:100200814 名字:纽坎特之短刀      STR值：STR_DAGGER_N_L1_53A
物品ID:100200815 名字:塞玛塔之短刀      STR值：STR_DAGGER_N_E1_55B
物品ID:100200816 名字:愤怒的赫拉纳斯之短刀      STR值：STR_DAGGER_N_E2_55A
物品ID:100200817 名字:乌尔鲁鲁之短刀      STR值：STR_DAGGER_D_N_L1_51A
物品ID:100200818 名字:黑卡之短刀      STR值：STR_DAGGER_D_N_R2_53A
物品ID:100200819 名字:塞伊拉之短刀      STR值：STR_DAGGER_D_N_L1_53A
物品ID:100200820 名字:帕德玛夏之短刀      STR值：STR_DAGGER_D_N_E1_55A
物品ID:100200821 名字:愤怒的泰格拉克之短刀      STR值：STR_DAGGER_D_N_E2_55A
物品ID:100200822 名字:忘却之匕首(14天)      STR值：STR_DAGGER_T_N_L1_30A
物品ID:100200823 名字:茫然之匕首(14天)      STR值：STR_DAGGER_T_N_L1_40A
物品ID:100200824 名字:忘我之匕首(14天)      STR值：STR_DAGGER_T_N_L1_50A
物品ID:100200825 名字:无形之匕首(3天)      STR值：STR_DAGGER_T_N_U1_40A
物品ID:100200826 名字:无上之匕首(3天)      STR值：STR_DAGGER_T_N_U1_50A
物品ID:100200827 名字:派遣队守卫之短刀      STR值：STR_DAGGER_A_R2_55A
物品ID:100200828 名字:守卫特种部队之短刀      STR值：STR_DAGGER_A_L2_55A
物品ID:100200829 名字:守卫万夫长之短刀      STR值：STR_DAGGER_A_U2_55A
物品ID:100200830 名字:守卫军团长之短刀      STR值：STR_DAGGER_A_E2_55A
物品ID:100200831 名字:派遣队执政官之短刀      STR值：STR_DAGGER_D_A_R2_55A
物品ID:100200832 名字:执政官特种部队之短刀      STR值：STR_DAGGER_D_A_L2_55A
物品ID:100200833 名字:执政官万夫长之短刀      STR值：STR_DAGGER_D_A_U2_55A
物品ID:100200834 名字:执政官军团长之短刀      STR值：STR_DAGGER_D_A_E2_55A
物品ID:100200835 名字:被刻印的名人之龙魂短剑      STR值：STR_DAGGER_N_E2_M_55A
物品ID:100200836 名字:被刻印的名人之龙魂短剑      STR值：STR_DAGGER_D_N_E2_M_55A
物品ID:100200837 名字:天军2级精锐军团兵之短剑      STR值：STR_DAGGER_N_U1_NC_51A
物品ID:100200838 名字:魔军2级精锐军团兵之短剑      STR值：STR_DAGGER_D_N_U1_NC_51A
物品ID:100200839 名字:发光的希埃尔的力量短剑      STR值：STR_DAGGER_N_L1_Q_52A
物品ID:100200840 名字:莱斯·特里格斯之短剑      STR值：STR_DAGGER_N_U0_Q_54A
物品ID:100200841 名字:幻影之莱斯·特里格斯之短剑      STR值：STR_DAGGER_N_U1_Q_54A
物品ID:100200842 名字:希埃尔的权能短剑      STR值：STR_DAGGER_N_U2_Q_55A
物品ID:100200843 名字:凯西内尔的恩宠短剑      STR值：STR_DAGGER_N_E1_Q_55A
物品ID:100200844 名字:发光的希埃尔的力量短剑      STR值：STR_DAGGER_D_N_L1_Q_52A
物品ID:100200845 名字:贝尔德·普尼尔之短剑      STR值：STR_DAGGER_D_N_U0_Q_54A
物品ID:100200846 名字:命运之贝尔德·普尼尔之短剑      STR值：STR_DAGGER_D_N_U1_Q_54A
物品ID:100200847 名字:希埃尔的权能短剑      STR值：STR_DAGGER_D_N_U2_Q_55A
物品ID:100200848 名字:马勒库坦的恩宠短剑      STR值：STR_DAGGER_D_N_E1_Q_55A
物品ID:100200849 名字:龙信徒之短剑      STR值：STR_DAGGER_N_R1_52A
物品ID:100200850 名字:53级杀星平均装备短剑右手(短短)      STR值：STR_TEST_DAGGER_AS_53A
物品ID:100200851 名字:53级杀星平均装备短剑左手(短短)      STR值：STR_TEST_DAGGER_AS_53B
物品ID:100200852 名字:53级杀星平均装备短剑右手(短长)      STR值：STR_TEST_DAGGER_AS_53C
物品ID:100200853 名字:55级杀星平均装备短剑右手(短短)      STR值：STR_TEST_DAGGER_AS_55A
物品ID:100200854 名字:55级杀星平均装备短剑左手(短短)      STR值：STR_TEST_DAGGER_AS_55B
物品ID:100200855 名字:55级杀星平均装备短剑右手(短长)      STR值：STR_TEST_DAGGER_AS_55C
物品ID:100200856 名字:51级杀星平均装备短剑右手(短短)      STR值：STR_TEST_DAGGER_AS_51A
物品ID:100200857 名字:51级杀星平均装备短剑左手(短短)      STR值：STR_TEST_DAGGER_AS_51B
物品ID:100200858 名字:51级杀星平均装备短剑右手(短长)      STR值：STR_TEST_DAGGER_AS_51C
物品ID:100200859 名字:黑暗术古短剑右手 03(NPC)      STR值：STR_SHULACKDAGGER_R_03
物品ID:100200860 名字:黑暗术古短剑左手 03(NPC)      STR值：STR_SHULACKDAGGER_L_03
物品ID:100200861 名字:虚荣之匕首(14天)      STR值：STR_DAGGER_T_D_N_L1_30A
物品ID:100200862 名字:幻象之匕首(14天)      STR值：STR_DAGGER_T_D_N_L1_40A
物品ID:100200863 名字:虚无之匕首(14天)      STR值：STR_DAGGER_T_D_N_L1_50A
物品ID:100200864 名字:梦幻之匕首(3天)      STR值：STR_DAGGER_T_D_N_U1_40A
物品ID:100200865 名字:幻想之匕首(3天)      STR值：STR_DAGGER_T_D_N_U1_50A
物品ID:100200866 名字:守卫新兵之短刀      STR值：STR_DAGGER_A_L2_25A
物品ID:100200867 名字:执政官新兵之短刀      STR值：STR_DAGGER_D_A_L2_25A
物品ID:100200868 名字:无念之匕首(3天)      STR值：STR_DAGGER_T_N_U1_30A_3DAY
物品ID:100200869 名字:无形之匕首(3天)      STR值：STR_DAGGER_T_N_U1_40A_3DAY
物品ID:100200870 名字:无上之匕首(3天)      STR值：STR_DAGGER_T_N_U1_50A_3DAY
物品ID:100200871 名字:梦中之匕首(3天)      STR值：STR_DAGGER_T_D_N_U1_30A_3DAY
物品ID:100200872 名字:梦幻之匕首(3天)      STR值：STR_DAGGER_T_D_N_U1_40A_3DAY
物品ID:100200873 名字:幻想之匕首(3天)      STR值：STR_DAGGER_T_D_N_U1_50A_3DAY
物品ID:100200874 名字:无念之匕首(7天)      STR值：STR_DAGGER_T_N_U1_30A_7DAY
物品ID:100200875 名字:无形之匕首(7天)      STR值：STR_DAGGER_T_N_U1_40A_7DAY
物品ID:100200876 名字:无上之匕首(7天)      STR值：STR_DAGGER_T_N_U1_50A_7DAY
物品ID:100200877 名字:梦中之匕首(7天)      STR值：STR_DAGGER_T_D_N_U1_30A_7DAY
物品ID:100200878 名字:梦幻之匕首(7天)      STR值：STR_DAGGER_T_D_N_U1_40A_7DAY
物品ID:100200879 名字:幻想之匕首(7天)      STR值：STR_DAGGER_T_D_N_U1_50A_7DAY
物品ID:100200880 名字:无念之匕首(14天)      STR值：STR_DAGGER_T_N_U1_30A_14DAY
物品ID:100200881 名字:无形之匕首(14天)      STR值：STR_DAGGER_T_N_U1_40A_14DAY
物品ID:100200882 名字:无上之匕首(14天)      STR值：STR_DAGGER_T_N_U1_50A_14DAY
物品ID:100200883 名字:梦中之匕首(14天)      STR值：STR_DAGGER_T_D_N_U1_30A_14DAY
物品ID:100200884 名字:梦幻之匕首(14天)      STR值：STR_DAGGER_T_D_N_U1_40A_14DAY
物品ID:100200885 名字:幻想之匕首(14天)      STR值：STR_DAGGER_T_D_N_U1_50A_14DAY
物品ID:100200886 名字:德拉坎短剑右手 - 贵族      STR值：STR_DRAKANNOBLE_DAGGER_R_01
物品ID:100200887 名字:德拉坎短剑左手 - 贵族      STR值：STR_DRAKANNOBLE_DAGGER_L_01
物品ID:100200888 名字:德拉坎短剑右手 - 石像      STR值：STR_DRAKANSTATUE_DAGGER_R_01
物品ID:100200889 名字:德拉坎短剑左手 - 石像      STR值：STR_DRAKANSTATUE_DAGGER_L_01
物品ID:100200890 名字:新手猎人之短剑      STR值：STR_DAGGER_N_L1_Q_53A
物品ID:100200891 名字:老练的猎人之短剑      STR值：STR_DAGGER_N_U1_Q_53A
物品ID:100200892 名字:新手调查员之短剑      STR值：STR_DAGGER_D_N_L1_Q_53A
物品ID:100200893 名字:老练的调查员之短剑      STR值：STR_DAGGER_D_N_U1_Q_53A
物品ID:100200894 名字:黑暗术古难民短剑      STR值：STR_DAGGER_D_N_L1_52A
物品ID:100200895 名字:德拉坎短剑右手 - 幽灵      STR值：STR_DRAKANSOUL_DAGGER_R_01
物品ID:100200896 名字:德拉坎短剑左手 - 幽灵      STR值：STR_DRAKANSOUL_DAGGER_L_01
物品ID:100200897 名字:德拉坎短剑右手 - 不死族      STR值：STR_DRAKANUNDEAD_DAGGER_R_01
物品ID:100200898 名字:德拉坎短剑左手 - 不死族      STR值：STR_DRAKANUNDEAD_DAGGER_L_01
物品ID:100200899 名字:守备队长之短刀      STR值：STR_DAGGER_N_U1_54B
物品ID:100200900 名字:比尔哈娜之短刀      STR值：STR_DAGGER_N_U1_AS_55B
物品ID:100200901 名字:NPC天族欧比斯短剑 06      STR值：STR_NPC_DAGGER_A_R_06
物品ID:100200902 名字:NPC唯一短剑 08      STR值：STR_NPC_DAGGER_N_U_08
物品ID:100200903 名字:审判官之短刀      STR值：STR_DAGGER_D_N_L1_35A
物品ID:100200904 名字:天军9级兵之短剑      STR值：STR_DAGGER_N_R1_NC_16A
物品ID:100200905 名字:天军8级兵之短剑      STR值：STR_DAGGER_N_R1_NC_21A
物品ID:100200906 名字:天军7级兵之短剑      STR值：STR_DAGGER_N_R1_NC_26A
物品ID:100200907 名字:天军6级兵之短剑      STR值：STR_DAGGER_N_R1_NC_31A
物品ID:100200908 名字:天军5级兵之短剑      STR值：STR_DAGGER_N_R1_NC_36A
物品ID:100200909 名字:天军4级兵之短剑      STR值：STR_DAGGER_N_R1_NC_41A
物品ID:100200910 名字:天军3级兵之短剑      STR值：STR_DAGGER_N_R1_NC_46A
物品ID:100200911 名字:天军2级兵之短剑      STR值：STR_DAGGER_N_R1_NC_51A
物品ID:100200912 名字:天军7级精锐兵之短剑      STR值：STR_DAGGER_N_L1_NC_26A
物品ID:100200913 名字:天军6级精锐兵之短剑      STR值：STR_DAGGER_N_L1_NC_31A
物品ID:100200914 名字:天军5级精锐兵之短剑      STR值：STR_DAGGER_N_L1_NC_36A
物品ID:100200915 名字:天军4级精锐兵之短剑      STR值：STR_DAGGER_N_L1_NC_41A
物品ID:100200916 名字:天军3级精锐兵之短剑      STR值：STR_DAGGER_N_L1_NC_46A
物品ID:100200917 名字:天军2级精锐兵之短剑      STR值：STR_DAGGER_N_L1_NC_51A
物品ID:100200918 名字:天军5级精锐军团兵之短剑      STR值：STR_DAGGER_N_U1_NC_36A
物品ID:100200919 名字:天军4级精锐军团兵之短剑      STR值：STR_DAGGER_N_U1_NC_41A
物品ID:100200920 名字:魔军9级兵之短剑      STR值：STR_DAGGER_D_N_R1_NC_16A
物品ID:100200921 名字:魔军8级兵之短剑      STR值：STR_DAGGER_D_N_R1_NC_21A
物品ID:100200922 名字:魔军7级兵之短剑      STR值：STR_DAGGER_D_N_R1_NC_26A
物品ID:100200923 名字:魔军6级兵之短剑      STR值：STR_DAGGER_D_N_R1_NC_31A
物品ID:100200924 名字:魔军5级兵之短剑      STR值：STR_DAGGER_D_N_R1_NC_36A
物品ID:100200925 名字:魔军4级兵之短剑      STR值：STR_DAGGER_D_N_R1_NC_41A
物品ID:100200926 名字:魔军3级兵之短剑      STR值：STR_DAGGER_D_N_R1_NC_46A
物品ID:100200927 名字:魔军2级兵之短剑      STR值：STR_DAGGER_D_N_R1_NC_51A
物品ID:100200928 名字:魔军7级精锐兵之短剑      STR值：STR_DAGGER_D_N_L1_NC_26A
物品ID:100200929 名字:魔军6级精锐兵之短剑      STR值：STR_DAGGER_D_N_L1_NC_31A
物品ID:100200930 名字:魔军5级精锐兵之短剑      STR值：STR_DAGGER_D_N_L1_NC_36A
物品ID:100200931 名字:魔军4级精锐兵之短剑      STR值：STR_DAGGER_D_N_L1_NC_41A
物品ID:100200932 名字:魔军3级精锐兵之短剑      STR值：STR_DAGGER_D_N_L1_NC_46A
物品ID:100200933 名字:魔军2级精锐兵之短剑      STR值：STR_DAGGER_D_N_L1_NC_51A
物品ID:100200934 名字:魔军5级精锐军团兵之短剑      STR值：STR_DAGGER_D_N_U1_NC_36A
物品ID:100200935 名字:魔军4级精锐军团兵之短剑      STR值：STR_DAGGER_D_N_U1_NC_41A
物品ID:100200936 名字:斯尼伦之珍贵零食      STR值：STR_DAGGER_N_L1_H_50A
物品ID:100200937 名字:斯尼伦之稀有零食      STR值：STR_DAGGER_N_L1_H_50B
物品ID:100200938 名字:诺托斯之短剑      STR值：STR_DAGGER_N_R0_Q_20A
物品ID:100200939 名字:拉泰尼之短剑      STR值：STR_DAGGER_D_N_R0_Q_20A
物品ID:100200940 名字:遗忘深渊之短刀      STR值：STR_DAGGER_N_U2_A_52A
物品ID:100200941 名字:亚曼内斯之短刀      STR值：STR_DAGGER_N_E1_A_55A
物品ID:100200942 名字:卡里加之短剑      STR值：STR_DAGGER_N_U0_38A
物品ID:100200943 名字:克罗梅内副本NPC短剑      STR值：STR_NPC_DAGGER_N_U0_38A
物品ID:100200944 名字:天军3级精锐军团兵之短剑      STR值：STR_DAGGER_N_U1_NC_46A
物品ID:100200945 名字:魔军3级精锐军团兵之短剑      STR值：STR_DAGGER_D_N_U1_NC_46A
物品ID:100200946 名字:胡特金之短刀      STR值：STR_DAGGER_N_U1_44B
物品ID:100200947 名字:老练的猎人之短剑      STR值：STR_DAGGER_N_L1_Q_50A
物品ID:100200948 名字:老练的调查员之短剑      STR值：STR_DAGGER_D_N_L1_Q_50A
物品ID:100200949 名字:赏金猎人之短剑      STR值：STR_DAGGER_N_U1_Q_50A
物品ID:100200950 名字:专业解决师之短剑      STR值：STR_DAGGER_D_N_U1_Q_50A
物品ID:100200951 名字:封灵之短剑      STR值：STR_DAGGER_N_U1_PET_35A
物品ID:100200952 名字:封魂之短剑      STR值：STR_DAGGER_N_U1_PET_40A
物品ID:100200953 名字:封神之短剑      STR值：STR_DAGGER_N_U1_PET_45A
物品ID:100200954 名字:普拉纳斯之短刀      STR值：STR_DAGGER_N_E1_AS_55B
物品ID:100200955 名字:赫拉纳斯之短刀      STR值：STR_DAGGER_N_U1_Q_55A
物品ID:100200956 名字:泰格拉克之短刀      STR值：STR_DAGGER_D_N_U1_Q_55A
