quest_id	classification	retail_dnf	production_dnf	absent_positive_refs	unresolved_tokens
14051	REVIEW_CONTRACT	"[[[""noacquired"", 1063, 0], [""unfinished"", 1063, 0]]]"	"[[[""finished"", 14050, 0], [""noacquired"", 1063, 0], [""unfinished"", 1063, 0]]]"	[]	[]
14052	REVIEW_CONTRACT	"[[[""noacquired"", 1063, 0], [""unfinished"", 1063, 0]]]"	"[[[""finished"", 14050, 0], [""noacquired"", 1063, 0], [""unfinished"", 1063, 0]]]"	[]	[]
14054	REVIEW_CONTRACT	"[[[""noacquired"", 1063, 0], [""unfinished"", 1063, 0]]]"	"[[[""finished"", 14053, 0], [""noacquired"", 1063, 0], [""unfinished"", 1063, 0]]]"	[]	[]
15311	REVIEW_CONTRACT	"[[[""finished"", 15307, 0], [""noacquired"", 15312, 0], [""noacquired"", 15313, 0], [""noacquired"", 15314, 0], [""noacquired"", 15315, 0], [""noacquired"", 15316, 0]]]"	"[[[""finished"", 15307, 0]], [[""noacquired"", 15312, 0]], [[""noacquired"", 15313, 0]], [[""noacquired"", 15314, 0]], [[""noacquired"", 15315, 0]], [[""noacquired"", 15316, 0]]]"	[]	[]
15312	REVIEW_CONTRACT	"[[[""finished"", 15307, 0], [""noacquired"", 15311, 0], [""noacquired"", 15313, 0], [""noacquired"", 15314, 0], [""noacquired"", 15315, 0], [""noacquired"", 15316, 0]]]"	"[[[""finished"", 15307, 0]], [[""noacquired"", 15311, 0]], [[""noacquired"", 15313, 0]], [[""noacquired"", 15314, 0]], [[""noacquired"", 15315, 0]], [[""noacquired"", 15316, 0]]]"	[]	[]
15313	REVIEW_CONTRACT	"[[[""finished"", 15307, 0], [""noacquired"", 15311, 0], [""noacquired"", 15312, 0], [""noacquired"", 15314, 0], [""noacquired"", 15315, 0], [""noacquired"", 15316, 0]]]"	"[[[""finished"", 15307, 0]], [[""noacquired"", 15311, 0]], [[""noacquired"", 15312, 0]], [[""noacquired"", 15314, 0]], [[""noacquired"", 15315, 0]], [[""noacquired"", 15316, 0]]]"	[]	[]
15314	REVIEW_CONTRACT	"[[[""finished"", 15307, 0], [""noacquired"", 15311, 0], [""noacquired"", 15312, 0], [""noacquired"", 15313, 0], [""noacquired"", 15315, 0], [""noacquired"", 15316, 0]]]"	"[[[""finished"", 15307, 0]], [[""noacquired"", 15311, 0]], [[""noacquired"", 15312, 0]], [[""noacquired"", 15313, 0]], [[""noacquired"", 15315, 0]], [[""noacquired"", 15316, 0]]]"	[]	[]
15315	REVIEW_CONTRACT	"[[[""finished"", 15307, 0], [""noacquired"", 15311, 0], [""noacquired"", 15312, 0], [""noacquired"", 15313, 0], [""noacquired"", 15314, 0], [""noacquired"", 15316, 0]]]"	"[[[""finished"", 15307, 0]], [[""noacquired"", 15311, 0]], [[""noacquired"", 15312, 0]], [[""noacquired"", 15313, 0]], [[""noacquired"", 15314, 0]], [[""noacquired"", 15316, 0]]]"	[]	[]
15316	REVIEW_CONTRACT	"[[[""finished"", 15307, 0], [""noacquired"", 15311, 0], [""noacquired"", 15312, 0], [""noacquired"", 15313, 0], [""noacquired"", 15314, 0], [""noacquired"", 15315, 0]]]"	"[[[""finished"", 15307, 0]], [[""noacquired"", 15311, 0]], [[""noacquired"", 15312, 0]], [[""noacquired"", 15313, 0]], [[""noacquired"", 15314, 0]], [[""noacquired"", 15315, 0]]]"	[]	[]
15322	REVIEW_CONTRACT	"[[[""acquired"", 15301, 0], [""acquired"", 15311, 0]]]"	[[]]	[]	[]
15334	REVIEW_CONTRACT	"[[[""acquired"", 15303, 0], [""acquired"", 15313, 0]]]"	[[]]	[]	[]
15471	REVIEW_CONTRACT	"[[[""finished"", 15402, 0]]]"	[[]]	[]	[]
15545	REVIEW_CONTRACT	"[[[""noacquired"", 19900, 0], [""unfinished"", 19900, 0]]]"	[[]]	[]	[]
15551	REVIEW_CONTRACT	"[[[""finished"", 15550, 0]]]"	[[]]	[]	[]
15552	REVIEW_CONTRACT	"[[[""finished"", 15551, 0]]]"	[[]]	[]	[]
15553	REVIEW_CONTRACT	"[[[""finished"", 15552, 0]]]"	[[]]	[]	[]
15554	REVIEW_CONTRACT	"[[[""finished"", 15553, 0]]]"	[[]]	[]	[]
15563	REVIEW_CONTRACT	"[[[""finished"", 15550, 0]]]"	[[]]	[]	[]
15595	REVIEW_CONTRACT	"[[[""finished"", 15550, 0]]]"	[[]]	[]	[]
15673	REVIEW_CONTRACT	"[[[""finished"", 15550, 0]]]"	[[]]	[]	[]
16823	REVIEW_CONTRACT	"[[[""finished"", 16822, 0]]]"	[[]]	[]	[]
16824	REVIEW_CONTRACT	"[[[""finished"", 16821, 0]]]"	[[]]	[]	[]
16825	REVIEW_CONTRACT	"[[[""finished"", 16822, 0]]]"	[[]]	[]	[]
17012	REVIEW_CONTRACT	"[[[""noacquired"", 17014, 0]]]"	[[]]	[]	[]
17013	REVIEW_CONTRACT	"[[[""noacquired"", 17014, 0]]]"	[[]]	[]	[]
17014	REVIEW_CONTRACT	"[[[""noacquired"", 17012, 0], [""noacquired"", 17013, 0]]]"	"[[[""noacquired"", 17012, 0], [""noacquired"", 17013, 0], [""unfinished"", 17012, 0], [""unfinished"", 17013, 0]]]"	[]	[]
18035	REVIEW_CONTRACT	"[[[""finished"", 18036, 0]]]"	[[]]	[]	[]
18816	REVIEW_CONTRACT	"[[[""noacquired"", 18840, 0], [""noacquired"", 18841, 0], [""noacquired"", 18842, 0]]]"	[[]]	[]	[]
18821	REVIEW_CONTRACT	"[[[""finished"", 18830, 0]]]"	[[]]	[]	[]
18840	REVIEW_CONTRACT	"[[[""noacquired"", 18816, 0], [""noacquired"", 18841, 0], [""noacquired"", 18842, 0]]]"	[[]]	[]	[]
18841	REVIEW_CONTRACT	"[[[""noacquired"", 18816, 0], [""noacquired"", 18840, 0], [""noacquired"", 18842, 0]]]"	[[]]	[]	[]
18842	REVIEW_CONTRACT	"[[[""noacquired"", 18816, 0], [""noacquired"", 18840, 0], [""noacquired"", 18841, 0]]]"	[[]]	[]	[]
18911	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 18910, 0]], [[""finished"", 18917, 0]]]"	"[[[""finished"", 18917, 0]]]"	[18910]	[]
18912	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 18910, 0]], [[""finished"", 18917, 0]]]"	"[[[""finished"", 18917, 0]]]"	[18910]	[]
18913	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 18910, 0]], [[""finished"", 18917, 0]]]"	"[[[""finished"", 18917, 0]]]"	[18910]	[]
18993	REVIEW_CONTRACT	"[[[""finished"", 18992, 0]]]"	[[]]	[]	[]
19047	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 1099, 0]], [[""finished"", 14030, 0]]]"	"[[[""finished"", 14030, 0]]]"	[1099]	[]
19057	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 19050, 0]], [[""finished"", 19056, 0]]]"	"[[[""finished"", 19050, 0]]]"	[19056]	[]
20032	REVIEW_CONTRACT	"[[[""unfinished"", 20025, 0], [""unfinished"", 24062, 0]]]"	"[[[""finished"", 20031, 0], [""unfinished"", 20025, 0], [""unfinished"", 24062, 0]]]"	[]	[]
20033	REVIEW_CONTRACT	"[[[""unfinished"", 20025, 0], [""unfinished"", 24062, 0]]]"	"[[[""finished"", 20032, 0], [""unfinished"", 20025, 0], [""unfinished"", 24062, 0]]]"	[]	[]
20034	REVIEW_CONTRACT	"[[[""unfinished"", 20025, 0], [""unfinished"", 24062, 0]]]"	"[[[""finished"", 20033, 0], [""unfinished"", 20025, 0], [""unfinished"", 24062, 0]]]"	[]	[]
20035	REVIEW_CONTRACT	"[[[""unfinished"", 20025, 0], [""unfinished"", 24062, 0]]]"	"[[[""finished"", 20031, 0], [""finished"", 20032, 0], [""finished"", 20033, 0], [""finished"", 20034, 0], [""unfinished"", 20025, 0], [""unfinished"", 24062, 0]]]"	[]	[]
20101	REVIEW_CONTRACT	[[]]	"[[[""finished"", 20100, 0]]]"	[]	[]
20507	REVIEW_CONTRACT	"[[[""finished"", 20506, 0]]]"	"[[[""finished"", 20500, 0], [""finished"", 20501, 0], [""finished"", 20502, 0], [""finished"", 20503, 0], [""finished"", 20504, 0], [""finished"", 20505, 0], [""finished"", 20506, 0]]]"	[]	[]
20525	REVIEW_CONTRACT	[[]]	"[[[""finished"", 20521, 0]]]"	[]	[]
20530	REVIEW_CONTRACT	[[]]	"[[[""finished"", 20520, 0], [""finished"", 20521, 0], [""finished"", 20525, 0], [""finished"", 20526, 0], [""finished"", 20527, 0], [""finished"", 20528, 0], [""finished"", 20529, 0]]]"	[]	[]
21004	REVIEW_CONTRACT	"[[[""finished"", 21001, 0]]]"	[[]]	[]	[]
21080	REVIEW_CONTRACT	"[[[""finished"", 21065, 0]]]"	[[]]	[]	[]
21201	REVIEW_CONTRACT	"[[[""finished"", 21200, 0]]]"	[[]]	[]	[]
21296	REVIEW_CONTRACT	"[[[""finished"", 21295, 0]]]"	"[[[""finished"", 21248, 0], [""finished"", 21295, 0]]]"	[]	[]
24026	REVIEW_CONTRACT	"[[[""noacquired"", 2041, 0], [""unfinished"", 2041, 0]]]"	"[[[""finished"", 24020, 0], [""finished"", 24021, 0], [""finished"", 24022, 0], [""finished"", 24023, 0], [""finished"", 24024, 0], [""finished"", 24025, 0], [""noacquired"", 2041, 0], [""unfinished"", 2041, 0]]]"	[]	[]
24242	REVIEW_CONTRACT	"[[[""noacquired"", 24121, 0], [""unfinished"", 24121, 0]]]"	[[]]	[]	[]
25311	REVIEW_CONTRACT	"[[[""finished"", 25307, 0], [""noacquired"", 25312, 0], [""noacquired"", 25313, 0], [""noacquired"", 25314, 0], [""noacquired"", 25315, 0], [""noacquired"", 25316, 0]]]"	"[[[""finished"", 25307, 0]], [[""noacquired"", 25312, 0]], [[""noacquired"", 25313, 0]], [[""noacquired"", 25314, 0]], [[""noacquired"", 25315, 0]], [[""noacquired"", 25316, 0]]]"	[]	[]
25312	REVIEW_CONTRACT	"[[[""finished"", 25307, 0], [""noacquired"", 25311, 0], [""noacquired"", 25313, 0], [""noacquired"", 25314, 0], [""noacquired"", 25315, 0], [""noacquired"", 25316, 0]]]"	"[[[""finished"", 25307, 0]], [[""noacquired"", 25311, 0]], [[""noacquired"", 25313, 0]], [[""noacquired"", 25314, 0]], [[""noacquired"", 25315, 0]], [[""noacquired"", 25316, 0]]]"	[]	[]
25313	REVIEW_CONTRACT	"[[[""finished"", 25307, 0], [""noacquired"", 25311, 0], [""noacquired"", 25312, 0], [""noacquired"", 25314, 0], [""noacquired"", 25315, 0], [""noacquired"", 25316, 0]]]"	"[[[""finished"", 25307, 0]], [[""noacquired"", 25311, 0]], [[""noacquired"", 25312, 0]], [[""noacquired"", 25314, 0]], [[""noacquired"", 25315, 0]], [[""noacquired"", 25316, 0]]]"	[]	[]
25314	REVIEW_CONTRACT	"[[[""finished"", 25307, 0], [""noacquired"", 25311, 0], [""noacquired"", 25312, 0], [""noacquired"", 25313, 0], [""noacquired"", 25315, 0], [""noacquired"", 25316, 0]]]"	"[[[""finished"", 25307, 0]], [[""noacquired"", 25311, 0]], [[""noacquired"", 25312, 0]], [[""noacquired"", 25313, 0]], [[""noacquired"", 25315, 0]], [[""noacquired"", 25316, 0]]]"	[]	[]
25315	REVIEW_CONTRACT	"[[[""finished"", 25307, 0], [""noacquired"", 25311, 0], [""noacquired"", 25312, 0], [""noacquired"", 25313, 0], [""noacquired"", 25314, 0], [""noacquired"", 25316, 0]]]"	"[[[""finished"", 25307, 0]], [[""noacquired"", 25311, 0]], [[""noacquired"", 25312, 0]], [[""noacquired"", 25313, 0]], [[""noacquired"", 25314, 0]], [[""noacquired"", 25316, 0]]]"	[]	[]
25316	REVIEW_CONTRACT	"[[[""finished"", 25307, 0], [""noacquired"", 25311, 0], [""noacquired"", 25312, 0], [""noacquired"", 25313, 0], [""noacquired"", 25314, 0], [""noacquired"", 25315, 0]]]"	"[[[""finished"", 25307, 0]], [[""noacquired"", 25311, 0]], [[""noacquired"", 25312, 0]], [[""noacquired"", 25313, 0]], [[""noacquired"", 25314, 0]], [[""noacquired"", 25315, 0]]]"	[]	[]
25545	REVIEW_CONTRACT	"[[[""noacquired"", 29900, 0], [""unfinished"", 29900, 0]]]"	[[]]	[]	[]
26801	REVIEW_CONTRACT	[[]]	"[[[""finished"", 26800, 0]]]"	[]	[]
26802	REVIEW_CONTRACT	[[]]	"[[[""finished"", 26801, 0]]]"	[]	[]
26803	REVIEW_CONTRACT	[[]]	"[[[""finished"", 26802, 0]]]"	[]	[]
26804	REVIEW_CONTRACT	[[]]	"[[[""finished"", 26803, 0]]]"	[]	[]
26823	REVIEW_CONTRACT	"[[[""finished"", 26822, 0]]]"	[[]]	[]	[]
27012	REVIEW_CONTRACT	"[[[""noacquired"", 27014, 0]]]"	[[]]	[]	[]
27013	REVIEW_CONTRACT	"[[[""noacquired"", 27014, 0]]]"	[[]]	[]	[]
27014	REVIEW_CONTRACT	"[[[""noacquired"", 27012, 0], [""noacquired"", 27013, 0]]]"	"[[[""noacquired"", 27012, 0], [""noacquired"", 27013, 0], [""unfinished"", 27012, 0], [""unfinished"", 27013, 0]]]"	[]	[]
28035	REVIEW_CONTRACT	"[[[""finished"", 28036, 0]]]"	[[]]	[]	[]
28816	REVIEW_CONTRACT	"[[[""noacquired"", 28840, 0], [""noacquired"", 28841, 0], [""noacquired"", 28842, 0]]]"	[[]]	[]	[]
28840	REVIEW_CONTRACT	"[[[""noacquired"", 28816, 0], [""noacquired"", 28841, 0], [""noacquired"", 28842, 0]]]"	[[]]	[]	[]
28841	REVIEW_CONTRACT	"[[[""noacquired"", 28816, 0], [""noacquired"", 28840, 0], [""noacquired"", 28842, 0]]]"	[[]]	[]	[]
28842	REVIEW_CONTRACT	"[[[""noacquired"", 28816, 0], [""noacquired"", 28840, 0], [""noacquired"", 28841, 0]]]"	[[]]	[]	[]
28911	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 28910, 0]], [[""finished"", 28917, 0]]]"	"[[[""finished"", 28917, 0]]]"	[28910]	[]
28912	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 28910, 0]], [[""finished"", 28917, 0]]]"	"[[[""finished"", 28917, 0]]]"	[28910]	[]
28913	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 28910, 0]], [[""finished"", 28917, 0]]]"	"[[[""finished"", 28917, 0]]]"	[28910]	[]
29047	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 2099, 0]], [[""finished"", 24030, 0]]]"	"[[[""finished"", 24030, 0]]]"	[2099]	[]
29057	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 29050, 0]], [[""finished"", 29056, 0]]]"	"[[[""finished"", 29050, 0]]]"	[29056]	[]
30156	REVIEW_CONTRACT	"[[[""finished"", 30155, 0]]]"	"[[[""finished"", 30155, 1]]]"	[]	[]
30157	REVIEW_CONTRACT	"[[[""finished"", 30155, 1]]]"	"[[[""finished"", 30155, 2]]]"	[]	[]
30719	REVIEW_CONTRACT	"[[[""finished"", 30708, 0]]]"	[[]]	[]	[]
30720	REVIEW_CONTRACT	[[]]	"[[[""finished"", 30708, 0]]]"	[]	[]
38000	REVIEW_CONTRACT	"[[[""noacquired"", 38003, 0], [""unfinished"", 38003, 0]]]"	[[]]	[]	[]
38001	REVIEW_CONTRACT	"[[[""noacquired"", 38004, 0], [""unfinished"", 38004, 0]]]"	[[]]	[]	[]
38002	REVIEW_CONTRACT	"[[[""noacquired"", 38005, 0], [""unfinished"", 38005, 0]]]"	[[]]	[]	[]
39000	REVIEW_CONTRACT	"[[[""noacquired"", 39010, 0], [""unfinished"", 39010, 0]]]"	[[]]	[]	[]
48000	REVIEW_CONTRACT	"[[[""noacquired"", 48003, 0], [""unfinished"", 48003, 0]]]"	[[]]	[]	[]
48001	REVIEW_CONTRACT	"[[[""noacquired"", 48004, 0], [""unfinished"", 48004, 0]]]"	[[]]	[]	[]
48002	REVIEW_CONTRACT	"[[[""noacquired"", 48005, 0], [""unfinished"", 48005, 0]]]"	[[]]	[]	[]
49000	REVIEW_CONTRACT	"[[[""noacquired"", 49010, 0], [""unfinished"", 49010, 0]]]"	[[]]	[]	[]
49004	REVIEW_CONTRACT	"[[[""finished"", 49003, 0]]]"	[[]]	[]	[]
50020	REVIEW_CONTRACT	"[[[""finished"", 50010, 1]]]"	"[[[""finished"", 50010, 0]]]"	[]	[]
50022	REVIEW_CONTRACT	"[[[""finished"", 50010, 1]]]"	"[[[""finished"", 50010, 0]]]"	[]	[]
50110	NO_CLIENT_RECORD	[]	[[]]	[]	[]
50111	NO_CLIENT_RECORD	[]	[[]]	[]	[]
50123	NO_CLIENT_RECORD	[]	[[]]	[]	[]
50124	NO_CLIENT_RECORD	[]	[[]]	[]	[]
51020	REVIEW_CONTRACT	"[[[""finished"", 51010, 1]]]"	"[[[""finished"", 51010, 0]]]"	[]	[]
51022	REVIEW_CONTRACT	"[[[""finished"", 51010, 1]]]"	"[[[""finished"", 51010, 0]]]"	[]	[]
51110	NO_CLIENT_RECORD	[]	[[]]	[]	[]
51111	NO_CLIENT_RECORD	[]	[[]]	[]	[]
80300	REVIEW_CONTRACT	"[[[""finished"", 80298, 0]]]"	"[[[""finished"", 80298, 1]]]"	[]	[]
80301	REVIEW_CONTRACT	"[[[""finished"", 80298, 1]]]"	"[[[""finished"", 80298, 2]]]"	[]	[]
80302	REVIEW_CONTRACT	"[[[""finished"", 80299, 0]]]"	"[[[""finished"", 80299, 1]]]"	[]	[]
80303	REVIEW_CONTRACT	"[[[""finished"", 80299, 1]]]"	"[[[""finished"", 80299, 2]]]"	[]	[]
80306	REVIEW_CONTRACT	"[[[""finished"", 80304, 0]]]"	"[[[""finished"", 80304, 1]]]"	[]	[]
80307	REVIEW_CONTRACT	"[[[""finished"", 80304, 1]]]"	"[[[""finished"", 80304, 2]]]"	[]	[]
80308	REVIEW_CONTRACT	"[[[""finished"", 80305, 0]]]"	"[[[""finished"", 80305, 1]]]"	[]	[]
80309	REVIEW_CONTRACT	"[[[""finished"", 80305, 1]]]"	"[[[""finished"", 80305, 2]]]"	[]	[]
80343	REVIEW_CONTRACT	"[[[""finished"", 80341, 0]]]"	[[]]	[]	[]
80353	REVIEW_CONTRACT	"[[[""noacquired"", 80354, 0], [""noacquired"", 80355, 0]]]"	[[]]	[]	[]
80354	REVIEW_CONTRACT	"[[[""noacquired"", 80353, 0], [""noacquired"", 80355, 0]]]"	[[]]	[]	[]
80355	REVIEW_CONTRACT	"[[[""noacquired"", 80353, 0], [""noacquired"", 80354, 0]]]"	[[]]	[]	[]
80362	REVIEW_CONTRACT	"[[[""noacquired"", 80363, 0], [""noacquired"", 80364, 0]]]"	[[]]	[]	[]
80363	REVIEW_CONTRACT	"[[[""noacquired"", 80362, 0], [""noacquired"", 80364, 0]]]"	[[]]	[]	[]
80364	REVIEW_CONTRACT	"[[[""noacquired"", 80362, 0], [""noacquired"", 80363, 0]]]"	[[]]	[]	[]
80901	REVIEW_CONTRACT	[[]]	"[[[""finished"", 80900, 0]]]"	[]	[]
80902	REVIEW_CONTRACT	[[]]	"[[[""finished"", 80901, 0]]]"	[]	[]
80903	REVIEW_CONTRACT	[[]]	"[[[""finished"", 80902, 0]]]"	[]	[]
80904	REVIEW_CONTRACT	[[]]	"[[[""finished"", 80903, 0]]]"	[]	[]
80905	REVIEW_CONTRACT	[[]]	"[[[""finished"", 80904, 0]]]"	[]	[]
80906	REVIEW_CONTRACT	[[]]	"[[[""finished"", 80905, 0]]]"	[]	[]
80907	REVIEW_CONTRACT	[[]]	"[[[""finished"", 80906, 0]]]"	[]	[]
80908	REVIEW_CONTRACT	[[]]	"[[[""finished"", 80907, 0]]]"	[]	[]
80909	REVIEW_CONTRACT	[[]]	"[[[""finished"", 80908, 0]]]"	[]	[]
80910	REVIEW_CONTRACT	[[]]	"[[[""finished"", 80909, 0]]]"	[]	[]
80911	REVIEW_CONTRACT	[[]]	"[[[""finished"", 80910, 0]]]"	[]	[]
80912	REVIEW_CONTRACT	[[]]	"[[[""finished"", 80911, 0]]]"	[]	[]
80913	REVIEW_CONTRACT	[[]]	"[[[""finished"", 80912, 0]]]"	[]	[]
80914	REVIEW_CONTRACT	[[]]	"[[[""finished"", 80913, 0]]]"	[]	[]
80915	REVIEW_CONTRACT	[[]]	"[[[""finished"", 80914, 0]]]"	[]	[]
80916	REVIEW_CONTRACT	[[]]	"[[[""finished"", 80915, 0]]]"	[]	[]
80917	REVIEW_CONTRACT	[[]]	"[[[""finished"", 80916, 0]]]"	[]	[]
80918	REVIEW_CONTRACT	[[]]	"[[[""finished"", 80917, 0]]]"	[]	[]
80919	REVIEW_CONTRACT	[[]]	"[[[""finished"", 80918, 0]]]"	[]	[]
89999	NO_CLIENT_RECORD	[]	[[]]	[]	[]
